self.epoch: 0, lr: [0.0001, 0.001, 0.0002, 0.0001, 0.0001]
epoch  4/ 8 | batch   301/  404 | examples/s: 2.5 | loss: 0.0109 | loss_pe/0: 0.0109 | self_loss: 0.0109 | min_d: 0.0108 | max_d: 0.2329 | time elapsed: 01h27m00s | time left: 01h38m50s
epoch  4/ 8 | batch   326/  404 | examples/s: 2.5 | loss: 0.1239 | loss_pe/0: 0.1239 | self_loss: 0.1239 | min_d: 0.0124 | max_d: 0.2295 | time elapsed: 01h28m04s | time left: 01h37m00s
epoch  4/ 8 | batch   351/  404 | examples/s: 2.4 | loss: 0.1786 | loss_pe/0: 0.1786 | self_loss: 0.1786 | min_d: 0.0113 | max_d: 0.2565 | time elapsed: 01h29m11s | time left: 01h35m14s
epoch  4/ 8 | batch   376/  404 | examples/s: 2.6 | loss: 0.0873 | loss_pe/0: 0.0873 | self_loss: 0.0873 | min_d: 0.0094 | max_d: 0.2400 | time elapsed: 01h30m12s | time left: 01h33m23s
epoch  4/ 8 | batch   388/  404 | examples/s: 2.5 | loss: 0.1731 | loss_pe/0: 0.1731 | self_loss: 0.1731 | min_d: 0.0106 | max_d: 0.2189 | time elapsed: 01h30m41s | time left: 01h32m30s
epoch  4/ 8 | batch   401/  404 | examples/s: 2.6 | loss: 0.1249 | loss_pe/0: 0.1249 | self_loss: 0.1249 | min_d: 0.0132 | max_d: 0.2282 | time elapsed: 01h31m14s | time left: 01h31m35s
self.epoch: 4, lr: [0.0001, 0.001, 0.0002, 0.0001, 0.0001]
epoch  5/ 8 | batch     1/  404 | examples/s: 2.4 | loss: 0.1527 | loss_pe/0: 0.1527 | self_loss: 0.1527 | min_d: 0.0128 | max_d: 0.2333 | time elapsed: 01h39m32s | time left: 01h39m25s
epoch  5/ 8 | batch    26/  404 | examples/s: 2.4 | loss: 0.0517 | loss_pe/0: 0.0517 | self_loss: 0.0517 | min_d: 0.0107 | max_d: 0.2324 | time elapsed: 01h40m33s | time left: 01h37m22s
epoch  5/ 8 | batch    51/  404 | examples/s: 2.5 | loss: 0.1081 | loss_pe/0: 0.1081 | self_loss: 0.1081 | min_d: 0.0133 | max_d: 0.2330 | time elapsed: 01h41m33s | time left: 01h35m20s
epoch  5/ 8 | batch    76/  404 | examples/s: 2.5 | loss: 0.1083 | loss_pe/0: 0.1083 | self_loss: 0.1083 | min_d: 0.0186 | max_d: 0.2260 | time elapsed: 01h42m33s | time left: 01h33m21s
epoch  5/ 8 | batch   101/  404 | examples/s: 2.5 | loss: 0.0129 | loss_pe/0: 0.0129 | self_loss: 0.0129 | min_d: 0.0104 | max_d: 0.2376 | time elapsed: 01h43m34s | time left: 01h31m23s
